model,task,peak_layer,test_auroc_mean,pert_auroc_mean,reph_auroc_mean,auroc_drop_pert,auroc_drop_reph,p_wilcoxon_pert,p_wilcoxon_reph,d_pert,d_reph,p_wilcoxon_pert_fdr,p_wilcoxon_reph_fdr
gpt2,tomi_nli,5,0.44652908067542213,0.6441815856777494,0.5,-0.19765250500232723,-0.053470919324577815,1.0,1.0,0.0,0.0,1.0,1.0
gpt2,truthfulqa_mc,1,0.6085552865213881,0.6053268765133172,0.48627925746569806,0.0032284100080709477,0.12227602905569002,0.125,0.125,0.0,0.0,0.25,0.1875
gpt2_medium,tomi_nli,10,0.4377736085053158,0.47698209718670076,0.5314285714285714,-0.039208488681384934,-0.09365496292325554,1.0,1.0,0.0,0.0,1.0,1.0
gpt2_medium,truthfulqa_mc,10,0.6166263115415659,0.5762711864406779,0.5310734463276836,0.04035512510088801,0.08555286521388228,0.125,0.125,0.0,0.0,0.25,0.1875
llama7b,tomi_nli,13,0.5509693558474046,0.45588235294117646,0.4831746031746032,0.09508700290622807,0.06779475267280138,0.125,0.125,0.0,0.0,0.25,0.1875
llama7b,truthfulqa_mc,9,0.639225181598063,0.6933010492332525,0.49798224374495553,-0.05407586763518957,0.14124293785310738,1.0,0.125,0.0,0.0,1.0,0.1875
